CpGsite	CHR	start_pos0	end_pos0	strand
cg05575921	chr5	373263	373264	+
		
cg06126421	chr6	30752303	30752304	-
		
cg22132788	chr7	44962887	44962888	-
		
cg12803068	chr7	44963320	44963321	+
		
cg13039251	chr5	32018495	32018496	-
		
cg01940273	chr2	232420224	232420225	-
		
cg03636183	chr19	16889774	16889775	-
		
cg23576855	chr5	373184	373185	-
		
cg12876356	chr1	92481268	92481269	+
		
cg15693572	chr3	22370894	22370895	-
		
cg05951221	chr2	232419692	232419693	+
		
cg09935388	chr1	92482031	92482032	+
		
cg21566642	chr2	232419951	232419952	-
		
